title,type,dates,members,score
Saikyou Densetsu Kurosawa,Manga (11 vols),Jan 2003 - Sep 2006,"12,350 members",8.35
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,Manga (6 vols),Nov 2010 - Nov 2012,"5,993 members",8.35
Can't See Can't Hear But Love,Manhwa (6 vols),Oct 2010 - Aug 2011,"14,511 members",8.35
Tsubasa: RESERVoir CHRoNiCLE,Manga (28 vols),May 2003 - Oct 2009,"63,939 members",8.34
Petshop of Horrors,Manga (10 vols),1995 - 1998,"19,724 members",8.34
Buddha,Manga (14 vols),Sep 1972 - Nov 1983,"8,944 members",8.34
Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,Manga (4 vols),Jun 2006 - Apr 2008,"7,963 members",8.34
Black Jack,Manga (25 vols),Nov 1973 - Oct 1983,"13,642 members",8.34
Nichijou,Manga (10 vols),Jun 2006 - Oct 2015,"18,503 members",8.34
Magi,Manga (37 vols),Jun 2009 - Oct 2017,"98,167 members",8.34
Gakuen Babysitters,Manga (? vols),Sep 2009 -,"15,518 members",8.34
Taiyou no Ie,Manga (13 vols),Apr 2010 - May 2015,"65,361 members",8.34
Mahouka Koukou no Rettousei,Novel (? vols),Jul 2011 -,"20,890 members",8.34
Sword Art Online: Progressive,Novel (? vols),Oct 2012 -,"13,732 members",8.34
Dungeon Meshi,Manga (? vols),Feb 2014 -,"25,374 members",8.34
Cheese in the Trap Season 3,Manhwa (12 vols),Jan 2013 - Aug 2015,"3,683 members",8.34
Cheese in the Trap Season 4,Manhwa (7 vols),Sep 2015 - Mar 2017,"2,929 members",8.34
Kodomo no Omocha,Manga (10 vols),Jul 1994 - Oct 1998,"15,770 members",8.33
Hanazakari no Kimitachi e,Manga (23 vols),Aug 1996 - Aug 2004,"30,030 members",8.33
Blame!,Manga (10 vols),Nov 1996 - Jul 2003,"68,801 members",8.33
Versailles no Bara,Manga (10 vols),1972 - 1973,"8,693 members",8.33
Eden: It's an Endless World!,Manga (18 vols),Sep 1997 - Jun 2008,"32,614 members",8.33
7 Seeds,Manga (35 vols),Oct 2001 - May 2017,"13,251 members",8.32
Silver Diamond,Manga (27 vols),Aug 2003 - May 2012,"6,622 members",8.33
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,Manga (6 vols),Jun 2008 - Jun 2010,"7,044 members",8.33
Gin no Saji,Manga (? vols),Mar 2011 -,"25,508 members",8.33
Rokka no Yuusha,Novel (? vols),Aug 2011 -,"9,629 members",8.33
Seishun Buta Yarou Series,Novel (? vols),Apr 2014 -,"8,283 members",8.33
"Kumo desu ga, Nani ka?",Novel (? vols),Dec 2015 -,"7,367 members",8.33
4 Cut Hero,Manhwa (? vols),Aug 2014 -,"5,009 members",8.33
Sanctuary,Manga (12 vols),1990 - 1995,"20,045 members",8.32
Cat Street,Manga (8 vols),Jul 2004 - Sep 2007,"25,658 members",8.32
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,Manga (5 vols),Sep 2009 - Jun 2011,"7,247 members",8.32
Ansatsu Kyoushitsu,Manga (21 vols),Jul 2012 - Apr 2016,"98,723 members",8.32
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Novel (12 vols),Apr 2011 - Apr 2015,"11,139 members",8.32
Hai to Gensou no Grimgar,Novel (? vols),Jun 2013 -,"11,171 members",8.32
Tsurezure Children,Manga (12 vols),Jan 2012 - Jul 2018,"32,349 members",8.32
Youjo Senki,Manga (? vols),Apr 2016 -,"11,008 members",8.32
Cheese in the Trap Season 2,Manhwa (9 vols),Jun 2011 - Oct 2012,"3,965 members",8.32
Saint Seiya: The Lost Canvas - Meiou Shinwa,Manga (25 vols),Sep 2006 - Apr 2011,"10,836 members",8.31
Akagami no Shirayuki-hime,Manga (? vols),Aug 2006 -,"48,689 members",8.31
Kuragehime,Manga (17 vols),Oct 2008 - Aug 2017,"26,615 members",8.31
High School DxD,Novel (25 vols),Sep 2008 - Mar 2018,"21,702 members",8.31
Hirunaka no Ryuusei,Manga (12 vols),May 2011 - Nov 2014,"67,810 members",8.31
Naruto Shinden Series,Novel (3 vols),Sep 2015 - Nov 2015,"4,584 members",8.31
Innocent Rouge,Manga (12 vols),May 2015 - Jan 2020,"5,666 members",8.30
Taishou Otome Otogibanashi,Manga (5 vols),Jul 2015 - Sep 2017,"8,736 members",8.31
D.Gray-man,Manga (? vols),May 2004 -,"113,036 members",8.30
Ghost Hunt,Manga (12 vols),Dec 1997 - Sep 2010,"11,274 members",8.30
Let Dai,Manhwa (15 vols),1995 - 2005,"6,513 members",8.30
Ran to Haiiro no Sekai,Manga (7 vols),Dec 2008 - Apr 2015,"17,936 members",8.30
Feng Shen Ji,Manhua (? vols),2010 - 2011,"18,446 members",8.30
Kengan Ashura,Manga (27 vols),Apr 2012 - Aug 2018,"18,285 members",8.30
Doupo Cangqiong,Manhua (? vols),Jun 2012 -,"15,232 members",8.30
Koimonogatari,Manga (? vols),May 2013 -,"7,175 members",8.30
Genshiken,Manga (21 vols),Apr 2002 - Aug 2016,"28,569 members",8.29
Saiyuuki Reload,Manga (10 vols),Mar 2002 - Jun 2009,"6,406 members",8.29
Kimi ni Todoke,Manga (30 vols),Aug 2005 - Nov 2017,"77,989 members",8.29
Sora no Otoshimono,Manga (20 vols),Mar 2007 - Feb 2014,"34,447 members",8.28
Takemitsuzamurai,Manga (8 vols),Aug 2006 - Mar 2010,"6,272 members",8.29
Danshi Koukousei no Nichijou,Manga (7 vols),May 2009 - Sep 2012,"14,405 members",8.29
No.6 Beyond,Novel (1 vols),Nov 2012 - Nov 2012,"3,196 members",8.29
About Death,Manhwa (2 vols),Sep 2012 - Feb 2013,"6,114 members",8.29
Tobaku Datenroku Kaiji: One Poker-hen,Manga (16 vols),Jun 2013 - Aug 2017,"3,276 members",8.29
Bungou Stray Dogs,Novel (? vols),Apr 2014 -,"3,793 members",8.29
Winter Woods,Manhwa (7 vols),Jul 2014 - Jan 2017,"3,155 members",8.29
Boogiepop Series,Novel (? vols),Feb 1998 -,"5,812 members",8.28
Koori no Mamono no Monogatari,Manga (24 vols),Aug 1995 - Jun 2003,"3,418 members",8.28
The One,Manhua (18 vols),Jan 2005 - Feb 2014,"16,806 members",8.28
Solanin,Manga (2 vols),Jun 2005 - Apr 2006,"56,515 members",8.28
Last Game,Manga (11 vols),Aug 2011 - Jun 2016,"71,357 members",8.28
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Novel (? vols),Jan 2013 -,"18,305 members",8.28
Tokyo Ghoul:re,Manga (16 vols),Oct 2014 - Jul 2018,"157,835 members",8.28
Gokushufudou,Manga (? vols),Feb 2018 -,"33,971 members",8.28
Paradise Kiss,Manga (5 vols),Mar 1999 - Mar 2003,"27,687 members",8.27
Black Lagoon,Manga (? vols),Apr 2002 -,"30,794 members",8.27
Detective Conan,Manga (? vols),Feb 1994 -,"39,979 members",8.27
JoJo no Kimyou na Bouken Part 2: Sentou Chuuryuu,Manga (7 vols),Oct 1987 - Mar 1989,"54,032 members",8.27
Hikari to Tomo ni...: Jiheishouji wo Kakaete,Manga (15 vols),Sep 2000 - Apr 2009,"2,822 members",8.28
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,Manga (8 vols),Jun 2008 - Apr 2011,"6,203 members",8.27
Keishichou Tokuhanka 007,Manga (11 vols),Oct 2006 - Mar 2012,"7,633 members",8.27
Nukozuke!,Manga (? vols),Apr 2012 -,"8,859 members",8.27
Wotaku ni Koi wa Muzukashii,Manga (? vols),Apr 2014 -,"48,490 members",8.27
Meteor Methuselah,Manga (11 vols),Aug 1998 - May 2011,"16,397 members",8.26
Ookiku Furikabutte,Manga (? vols),Sep 2004 -,"7,281 members",8.26
Higurashi no Naku Koro ni: Watanagashi-hen,Manga (2 vols),Apr 2005 - Mar 2006,"12,098 members",8.26
Seven Days,Manga (2 vols),Sep 2007 - Jun 2009,"41,982 members",8.26
Doukyuusei,Manga (1 vols),Jul 2006 - Jul 2007,"18,729 members",8.26
Touhou Shinigami: Meteor Methuselah Gaiden,Manga (1 vols),Oct 2004 - Jun 2007,"4,517 members",8.26
Yuru Yuri,Manga (? vols),Jun 2008 -,"9,668 members",8.26
GTO: Shonan 14 Days,Manga (9 vols),Jun 2009 - Nov 2011,"16,150 members",8.26
Tasogare Otome x Amnesia,Manga (10 vols),Apr 2008 - Sep 2013,"33,135 members",8.26
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Manga (3 vols),Apr 2012 - Apr 2013,"9,559 members",8.26
Mushishi Tokubetsu-hen: Hihamukage,Manga (1 vols),Nov 2013 - Dec 2013,"2,900 members",8.26
