title,type,dates,members,score
Mitsu-iro✡Devil,Manga (1 vols),Jun 2009 - Jun 2009,"3,852 members",7.05
En Passant,Manga (4 vols),Nov 2009 - Jul 2011,"4,761 members",7.05
Kimi no Sei,Manga (3 vols),2009 - 2009,"9,790 members",7.05
"Zantei, Koibito",Manga (1 vols),- Aug 2008,"1,509 members",7.05
Otokonoko wa Hachimitsu,Manga (1 vols),2008 - 2008,"1,575 members",7.05
Horikou Hanemono Ranger,Manga (3 vols),2006 - 2008,924 members,7.05
Oyajina! ~Chinatsu to Tomoe no Baai~,Manga (1 vols),2009 - 2010,876 members,7.05
"A-kun (17) no Sensou: I, the Tycoon?",Manga (? vols),Oct 2007 - 2008,829 members,7.05
"Houkago, Sensei to Koi ni Ochiru",Manga (1 vols),May 2010 - May 2010,"2,749 members",7.05
Cherry na Bokura,Manga (2 vols),Mar 2009 - Nov 2009,655 members,7.05
Appleseed Hypernotes,Manga (1 vols),Apr 1992 - Dec 1992,581 members,7.05
Tonari no Kanata,Manga (1 vols),2010 - 2010,925 members,7.05
Otoko wo Misete yo Kurata-kun!,Manga (3 vols),Sep 2010 - Nov 2011,"1,158 members",7.05
Rock Lee no Seishun Full-Power Ninden,Manga (7 vols),Dec 2010 - Jul 2014,"5,183 members",7.05
Needless Zero,Manga (2 vols),Jul 2001 - Feb 2008,"1,330 members",7.05
Koimoku,Manga (5 vols),Jan 2011 - Sep 2012,"9,949 members",7.05
"Sensei to, Uwakichuu",Manga (1 vols),Jan 2010 - Jan 2010,"2,281 members",7.05
Kanojo ga Kare ni Ochiru Wake,Manga (1 vols),Feb 2010 - Aug 2010,"2,202 members",7.05
Ranobe no Hen!,Manga (2 vols),Aug 2010 - Jun 2011,"1,599 members",7.05
Tiger & Bunny,One-shot (? vols),Aug 2011 - Aug 2011,"1,107 members",7.05
Okusan,Manga (? vols),Dec 2008 -,"6,484 members",7.05
Hana wa Sakura yori mo Hana no Gotoku,Manga (2 vols),Aug 2011 - Sep 2012,"2,878 members",7.05
Tiger Mask,Manga (14 vols),Jan 1968 - 1971,623 members,7.05
Sakura no Himegoto,Manga (2 vols),Mar 2011 - Apr 2013,697 members,7.05
Oishii Kimi List,One-shot (? vols),Dec 2009 - Dec 2009,690 members,7.05
Koi ga Moumoku nara,Manga (1 vols),2000 - 2000,403 members,7.05
Sumire Syrup,Manga (1 vols),2011 - 2011,"1,353 members",7.05
Teke-Teke★Rendezvous,Manga (4 vols),May 2009 - Apr 2014,421 members,7.05
Kingyozaka Noboru,Manga (5 vols),Aug 2012 - Jun 2015,524 members,7.05
Daydream★Nightmare,Manga (2 vols),Nov 2011 -,"1,391 members",7.05
Ritou no Umi,Manga (1 vols),Sep 2009 - Sep 2010,946 members,7.04
Kimi no Himitsu,Manga (1 vols),Jul 2012 - Jul 2012,491 members,7.05
Maou na Anoko to Murabito A,Manga (5 vols),Feb 2012 - Jul 2015,"4,813 members",7.05
Audience with Her Majesty the Queen,Manhua (? vols),Sep 2009 -,382 members,7.05
Citrus,Manga (2 vols),Oct 2010 - Jul 2011,"1,936 members",7.05
Hibari no Asa,Manga (2 vols),Mar 2011 - Jun 2013,641 members,7.05
Rose Guns Days: Season 1,Manga (4 vols),Aug 2012 - Feb 2014,896 members,7.05
Koukaku no Pandora,Manga (? vols),Oct 2012 -,"1,915 members",7.05
Kimi wa Kawaii Hito,One-shot (? vols),Jun 2012 - Jun 2012,906 members,7.05
Kyuuketsuki no Uruwashiki Kekkon,Manga (1 vols),Aug 2009 - Oct 2012,"2,010 members",7.05
"Inochi Mijikashi, Koiseyo Furyou Shounen!",Manga (1 vols),Mar 2013 - Aug 2013,"4,624 members",7.05
Cosmic Color,Manga (1 vols),Jun 2013 - Sep 2013,"2,016 members",7.05
Toukou Tochuu no Deaigashira no Guuzen Kiss wa Ariuru ka? Jikken,Manga (1 vols),Apr 2012 - Apr 2012,513 members,7.05
Wallman,Manga (3 vols),Jun 2013 - Jan 2015,"6,152 members",7.05
Fantasma,Manga (3 vols),Jul 2013 - Jun 2014,945 members,7.05
Buchou ni Igen wa Arimasen,Manga (3 vols),May 2012 - May 2014,605 members,7.05
Sorenara Isso Koi ni Nare,Manga (2 vols),Jul 2013 - Dec 2013,"2,861 members",7.05
Number Girl,Manga (3 vols),Jun 2010 - Dec 2015,936 members,7.05
Killing Bites,Manga (? vols),Nov 2013 -,"7,693 members",7.05
Bokura no Yukue wa,Manga (1 vols),Sep 2010 - Aug 2013,"1,743 members",7.05
Kakei no Alice,Manga (11 vols),Jan 2014 - Sep 2018,"2,541 members",7.05
BlazBlue,Manga (2 vols),Jun 2013 - Dec 2013,615 members,7.05
Rainy Song,Manga (1 vols),Mar 2011 - Jul 2013,899 members,7.05
Death Note: L FILE No. 15,Manga (? vols),Jan 2008 - Jan 2008,"3,414 members",7.05
Steins;Gate: Hiyoku Renri no Future Honey,Manga (1 vols),Apr 2012 - Apr 2012,840 members,7.05
Netoge no Yome wa Onnanoko ja Nai to Omotta?,Manga (8 vols),Aug 2014 - Sep 2018,"6,021 members",7.05
Dead Tube,Manga (? vols),Apr 2014 -,"39,751 members",7.05
SP x Baby,Manga (2 vols),Aug 2014 - Dec 2015,"4,624 members",7.05
Michiwarikusa Monogatari,Manga (2 vols),Sep 2014 - Jan 2015,740 members,7.05
Shin Chimoguri Ringo to Kingyobachi Otoko,Manga (2 vols),Jan 2015 - Apr 2017,"1,021 members",7.05
Hakugin Gymnasium,Manga (2 vols),May 2013 - 2014,429 members,7.05
Henshin no News,Manga (1 vols),Dec 2011 - Aug 2012,"1,529 members",7.05
Chihou Kishi Hans no Junan,Manga (? vols),Mar 2015 -,"3,488 members",7.05
Zettai naru Isolator,Manga (4 vols),Jun 2015 - Jan 2018,"1,934 members",7.05
Himouto! Umaru-chan'S,Manga (? vols),Mar 2014 -,"1,288 members",7.05
Hiru,Manga (5 vols),Mar 2011 - Aug 2013,578 members,7.05
Hanabatake no Ibérico,One-shot (? vols),Apr 2015 - Apr 2015,"1,747 members",7.05
Ichibanboshi Kirari,Manga (2 vols),May 2015 - Jan 2016,683 members,7.05
Natsu no Omoide,One-shot (? vols),Aug 2013 - Aug 2013,289 members,7.05
Tokusatsu Gagaga,Manga (? vols),Aug 2014 -,627 members,7.05
Shiba Occhan,Manga (1 vols),Nov 2014 - Nov 2014,483 members,7.05
Amentia,Manhwa (? vols),Apr 2015 -,"1,716 members",7.05
BlazBlue: Variable Heart,Manga (3 vols),Jun 2016 - Dec 2017,620 members,7.05
Mahou ga Tsukaenakutemo,Manga (1 vols),Jun 2016 - May 2018,"1,778 members",7.05
Shitsuji-tachi no Chinmoku,Manga (? vols),Jun 2016 -,"1,628 members",7.05
Goodbye! Isekai Tensei,Manga (? vols),Dec 2017 -,"3,703 members",7.05
Tatta Hitori no Kimi to 70-oku no Shinigami,Manga (? vols),Oct 2017 -,746 members,7.05
Darling in the FranXX!,Manga (1 vols),Jan 2018 - Jul 2018,545 members,7.04
Teisou Gyakuten Sekai,Manga (? vols),Apr 2016 -,"5,867 members",7.05
Yuri Moyou: Sakimiya 4 Shimai no Koi,Manga (? vols),Jul 2018 -,647 members,7.05
Majo-senpai Nippou,Manga (? vols),Aug 2018 -,511 members,7.05
MoMo: The Blood Taker,Manga (? vols),Jan 2019 -,"1,591 members",7.05
"Moto Sekai 1-i no Sub-Chara Ikusei Nikki: Hai Player, Isekai wo Kouryakuchuu!",Manga (? vols),Dec 2018 -,"1,412 members",7.05
"Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine: Last",Manga (? vols),Mar 2019 -,588 members,7.05
Yozakura-san Chi no Daisakusen,Manga (? vols),Aug 2019 -,"3,028 members",7.05
Jikan Teishi Yuusha,Manga (? vols),Sep 2019 -,566 members,7.05
Boys Be... 2nd Season,Manga (20 vols),Nov 1996 - Feb 2000,382 members,7.04
Tsuiteru Kanojo,Manga (2 vols),Aug 2004 - Jun 2005,"1,386 members",7.04
Shiki Tsukai,Manga (13 vols),Jul 2005 - Sep 2011,"1,106 members",7.04
Seiten Taisei,Manga (6 vols),Jul 1998 - Aug 2000,"1,014 members",7.04
Haou♥Airen,Manga (9 vols),Feb 2002 - Mar 2004,"8,859 members",7.04
Andante,Manga (3 vols),Apr 2001 - Jun 2002,907 members,7.04
Baby Pop,Manga (2 vols),Mar 1998 - Jun 1999,"1,719 members",7.04
Dragon Drive,Manga (14 vols),Aug 2001 - Jan 2006,"3,203 members",7.04
Girls Saurus,Manga (3 vols),Apr 2002 - Dec 2002,"7,267 members",7.04
Times Two,Manga (1 vols),Apr 2002 -,530 members,7.04
I.O.N,Manga (1 vols),May 1997 - Nov 1997,"6,191 members",7.04
Onmyou Taisenki,Manga (3 vols),Oct 2004 - Mar 2006,347 members,7.04
P2 - Let's Play Ping Pong!,Manga (7 vols),Sep 2006 - Feb 2008,650 members,7.04
Nasu,Manga (3 vols),Jul 2001 - Dec 2002,482 members,7.04
Acony,Manga (3 vols),Mar 2004 - Jul 2010,"3,249 members",7.04
Seiken Densetsu: Legend of Mana,Manga (5 vols),2000 - 2003,692 members,7.04
Kindan Kon,Manga (1 vols),2005 - 2005,"3,728 members",7.04
Galaxy Angel Parody,Manga (3 vols),2003 - 2004,323 members,7.04
Arigatou,Manga (4 vols),Oct 1994 - Jun 1995,"5,889 members",7.04
Hareluya,Manga (1 vols),Jun 1992 - Aug 1992,"1,158 members",7.04
Shin Kidou Senki Gundam Wing: Ground Zero,Manga (1 vols),Jan 1998 - Jan 1998,"1,144 members",7.04
Romantic Beauty,Manga (1 vols),2006 - 2006,"2,839 members",7.04
CUTE X GUY,Manga (4 vols),-,"2,477 members",7.04
Tubame Syndrome,Manga (8 vols),2004 - 2007,"1,942 members",7.04
Netsu Shisen,Manga (1 vols),-,"1,077 members",7.04
Cotton,Manga (1 vols),Oct 2003 - Oct 2003,"2,127 members",7.04
Hayabusa,Manga (1 vols),Feb 2004 - Dec 2004,516 members,7.04
Hokuto no Ken - Raoh Gaiden,Manga (5 vols),Mar 2006 - Mar 2007,725 members,7.04
Sayonara ga Chikai no de,One-shot (? vols),Mar 2004 - Mar 2004,"3,900 members",7.04
Harukaze Bitter☆Bop,Manga (4 vols),2004 - Jun 2007,565 members,7.04
Beauty Honey,Manga (3 vols),Dec 2006 - Oct 2008,"1,328 members",7.04
Jinzou Ningen Kikaida,Manga (6 vols),1972 - 1973,369 members,7.04
Cherry Love,Manga (1 vols),2006 - 2006,"1,865 members",7.04
Ano Ko to Issho,Manga (13 vols),2004 -,"1,472 members",7.04
Kimi dake no Devil,Manga (1 vols),1999 - 1999,"1,052 members",7.04
"Bye-Bye, Little.",Manga (1 vols),Jan 2002 - Jan 2002,"1,282 members",7.04
Akuma ga Hallelujah,Manga (1 vols),Mar 2008 - Mar 2008,"4,208 members",7.04
...Seishunchuu!,Manga (2 vols),1998 -,"1,141 members",7.04
SiraYuki PaniMix!,Manga (7 vols),2007 - 2010,423 members,7.04
Ojiichan wa Shounen Tantei,Manga (5 vols),-,565 members,7.04
Girl in Heels,Manhwa (14 vols),2007 - 2007,"1,454 members",7.04
Wish: Tatta Hitotsu no Negaigoto,Manga (1 vols),Oct 2004 - Aug 2005,506 members,7.04
Slayers Light Magic,Manga (2 vols),Jul 2008 - Apr 2009,683 members,7.04
Princess Diana,Manhua (3 vols),-,290 members,7.04
Honey Coming: Sweet Love Lesson,Manga (3 vols),Feb 2007 - Oct 2008,"1,074 members",7.04
Di Gi Charat Theater: Leave it To Piyoko!,Manga (2 vols),2002 - 2003,302 members,7.04
Megane ni Koishite,Manga (1 vols),-,596 members,7.04
Kiss Happiness Kiss,One-shot (? vols),2008 - 2008,903 members,7.04
Necromanesque,Manga (3 vols),Dec 2006 - Jun 2009,530 members,7.04
Kitsune to Atori,Manga (1 vols),Jun 2007 - Jun 2007,728 members,7.04
Garden,Manga (1 vols),2000 - 2008,941 members,7.04
First Love,One-shot (? vols),-,"1,473 members",7.04
Sayonara no Jikan,Manga (1 vols),2008 - 2008,"1,157 members",7.04
Die or Like Me,Manhwa (10 vols),-,744 members,7.04
Majimoji Rurumo,Manga (7 vols),May 2007 - Dec 2010,"1,620 members",7.04
Doll Star: Kotodama Tsukai Ihon,Manga (2 vols),Nov 2008 - Mar 2009,"3,726 members",7.04
Gar to Ouji-sama,One-shot (? vols),Jan 2009 - Jan 2009,915 members,7.04
Happy Negative Marriage,Manga (5 vols),Jun 2009 - Apr 2014,"4,834 members",7.04
Sable Prince,Manga (2 vols),2008 - 2009,"2,305 members",7.04
The Crater,Manga (3 vols),Jul 1969 - Mar 1970,725 members,7.04
Asuka Hybrid,Manga (? vols),2009 - 2011,"1,842 members",7.04
Captain Tsubasa: Kaigai Gekitou-hen in Calcio - Hi Izuru Kuni no Giocatore,Manga (2 vols),2009 - 2009,706 members,7.04
Fetish Berry,Manga (5 vols),May 2010 - Sep 2012,"2,975 members",7.04
Seirei Produce,Manga (2 vols),Nov 2009 - Jan 2012,"2,665 members",7.04
Akai Michi,One-shot (? vols),2009 - 2009,"3,518 members",7.04
Kyou Shashou,One-shot (? vols),Apr 2010 - Apr 2010,861 members,7.04
Straight No Chaser,One-shot (? vols),Nov 2009 - Nov 2009,297 members,7.04
Seikon Sacrifice,Manga (? vols),Jul 2009 -,560 members,7.04
Yogoreteru Hima nanka Nai,Manga (3 vols),2001 -,502 members,7.04
Moon Walker LTD. Series,Manga (? vols),Oct 2010 - May 2013,"1,863 members",7.04
Hitsuji ga Ippiki,Manga (1 vols),2009 - 2009,"1,488 members",7.04
Houkago Love Age,Manga (1 vols),2010 - 2010,"1,086 members",7.04
Iyada nante Iwasenai,Manga (2 vols),Aug 2010 - Dec 2010,"3,447 members",7.04
Yuusetsu Taion,One-shot (? vols),Dec 2009 - Dec 2009,425 members,7.04
Perfect Rose,Manga (3 vols),Jul 2011 - Jul 2012,565 members,7.04
Ookami-tachi no Shiikuhou,Manga (1 vols),Jun 2010 - Jan 2011,"1,369 members",7.04
Vanilla Spider,Manga (3 vols),Sep 2009 - Nov 2010,983 members,7.03
Toukei Ibun,Manga (4 vols),Oct 2001 - Aug 2003,551 members,7.04
Robotics;Notes,Manga (6 vols),Jan 2012 - Jul 2014,"1,339 members",7.04
Scarlet Cross,Manhua (? vols),Apr 2012 -,761 members,7.04
13 Game,Manga (? vols),Feb 2012 - Aug 2013,875 members,7.04
Sakura Taisen: Kanadegumi,Manga (4 vols),Nov 2011 - May 2013,881 members,7.04
Lost Mouse Girl,One-shot (? vols),Feb 2011 - Feb 2011,172 members,7.04
Sora ga Haiiro dakara,Manga (5 vols),Aug 2011 - Jan 2013,"1,123 members",7.04
Hagure Yuusha no Aesthetica,Manga (3 vols),Jan 2012 - Jun 2013,"2,638 members",7.04
1001,Manga (10 vols),Jun 2012 - Sep 2017,"2,788 members",7.04
Acchel World.,Manga (5 vols),Apr 2010 - Jun 2016,841 members,7.04
Torikago no Tsugai,Manga (4 vols),Aug 2012 - Apr 2014,"4,490 members",7.04
Seiten ni Tsurugi wo Kazase,One-shot (? vols),Apr 2012 - Apr 2012,360 members,7.04
Ore no Kanojo to Osananajimi ga Shuraba sugiru Ai,Manga (1 vols),Dec 2012 - Aug 2013,"1,868 members",7.04
Koko dake no Hanashi.,Manga (1 vols),Feb 2013 - Dec 2014,655 members,7.04
Amai Amai Koi wo Seyo.,Manga (1 vols),Dec 2012 - Apr 2013,"2,689 members",7.04
Tsukimizuki Rikai no Tantei Satsujin,Manga (3 vols),Apr 2012 - Mar 2013,701 members,7.04
Asa made Matemasen!,Manga (? vols),Sep 2013 -,802 members,7.04
Futsutsuka na Oyako de wa Arimasu ga,Manga (? vols),Dec 2012 -,"2,481 members",7.04
NEET dakedo Hello Work ni Ittara Isekai ni Tsuretekareta,Novel (? vols),Oct 2013 -,"1,395 members",7.04
Yukionna Gensou: Michiyuki-hen,Manga (1 vols),Mar 2013 - Oct 2013,571 members,7.04
Satsui no Senki,Manga (2 vols),Mar 2014 - Feb 2015,617 members,7.04
Ouja no Yuugi,Manga (6 vols),Jul 2012 - May 2015,387 members,7.04
Mushishi Gaitanshuu,Manga (1 vols),Nov 2014 - Apr 2015,886 members,7.04
Aldnoah.Zero 2nd Season,Manga (5 vols),Feb 2015 - Dec 2016,700 members,7.04
Boku to René to Aoarashi,Manga (3 vols),Oct 2015 - Oct 2016,977 members,7.04
Naraku no Adu,Manga (? vols),Nov 2015 -,"1,769 members",7.04
Danganronpa Gaiden: Killer Killer,Manga (3 vols),Mar 2016 - Apr 2017,"5,893 members",7.04
Densetsu no Yuusha no Konkatsu,Manga (4 vols),May 2016 - Jul 2017,"3,030 members",7.04
Uratarou,Manga (6 vols),Jul 2016 - Sep 2017,"8,721 members",7.04
"Ashita, Kimi ni Aetara",Manga (2 vols),Nov 2016 - Oct 2017,828 members,7.04
Renjou Desperado,Manga (6 vols),May 2015 - Apr 2018,"1,488 members",7.04
"Moto Saikyou no Kenshi wa, Isekai Mahou ni Akogareru",Novel (? vols),Sep 2017 -,727 members,7.04
Isekai Kenkokuki,Novel (? vols),Aug 2017 -,568 members,7.04
29 to JK,Manga (6 vols),Sep 2017 - Jan 2020,"4,824 members",7.04
Potion-danomi de Ikinobimasu!,Manga (? vols),Jun 2017 -,"2,981 members",7.04
Mikami-san wo Furimukasetai,One-shot (? vols),Jul 2018 - Jul 2018,243 members,7.03
Boukenka ni Narou!: Skill Board de Dungeon Kouryaku,Manga (? vols),Sep 2018 -,957 members,7.04
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Manga (? vols),Jan 2019 -,"2,624 members",7.04
"Himesama ""Goumon"" no Jikan desu",Manga (? vols),Apr 2019 -,"2,149 members",7.04
Akuyaku Reijou no Tsuihougo!: Kyoukai Kaikaku Gohan de Yuuyuu Sister-gurashi,Manga (? vols),Dec 2018 -,948 members,7.04
Realist Maou ni Yoru Seiikinaki Isekai Kaikaku,Manga (? vols),Jan 2019 -,"1,155 members",7.04
Culdcept,Manga (6 vols),Jul 1999 - Jul 2007,603 members,7.03
Shin Kidou Senki Gundam Wing: Dual Story - G-Unit,Manga (3 vols),Apr 1997 - Feb 1998,760 members,7.03
Senjutsu Choukoukaku Orion,Manga (1 vols),1990 - 1991,894 members,7.03
Meisou Kuiki,Manga (2 vols),Feb 2002 - Nov 2002,"1,117 members",7.03
Itsumo Misora,Manga (5 vols),May 2000 - May 2001,"1,261 members",7.03
Taranta Ranta,Manga (2 vols),2006 - 2006,"4,376 members",7.03
Metal Heart,Manhwa (16 vols),2004 - 2009,"1,875 members",7.03
Saigo no Seifuku,Manga (3 vols),Feb 2004 - Sep 2006,988 members,7.03
Kyoukasho ni Nai!,Manga (18 vols),1995 - Sep 2002,"1,291 members",7.03
A Cat and a Bird,Manhwa (2 vols),-,957 members,7.03
Tsumi ni Nureta Futari,Manga (18 vols),Oct 1998 - Oct 2004,"2,373 members",7.03
Kirarin☆Revolution,Manga (14 vols),Mar 2004 - May 2009,"2,088 members",7.03
Love Master A,Manga (2 vols),2005 - 2005,"1,016 members",7.03
Haa Haa,Manga (3 vols),1996 - 1996,"1,703 members",7.03
K.O.SEN,Manga (2 vols),Dec 2007 - Mar 2008,631 members,7.03
Dengeki Love Machine,Manga (1 vols),2001 - 2001,988 members,7.03
Happiness!,Manga (2 vols),2006 -,558 members,7.03
Triple Kiss,Manga (2 vols),2008 -,"2,076 members",7.03
Ryouko no Shinrei Jikenbo,Manga (4 vols),1988 - 1991,695 members,7.03
Con Con x Honey,Manga (1 vols),May 2007 - Jul 2007,695 members,7.03
Kimi ni Furetara.,Manga (1 vols),Mar 2007 - Mar 2007,"3,389 members",7.03
Lovely Baby,Manga (1 vols),2004 - 2004,501 members,7.03
5-ji kara Hajimaru Himitsu no Jikan,Manga (1 vols),Aug 2005 - Aug 2005,665 members,7.03
Last Fantasy,Manhwa (5 vols),2002 - 2004,300 members,7.03
Kuuki no Soko,Manga (1 vols),1971 - 1972,578 members,7.03
Onsen de Aimashou,Manga (2 vols),Jun 2002 - Apr 2005,282 members,7.03
Candy Flower,Manga (1 vols),Jun 2004 - Apr 2005,652 members,7.03
Uwasa no Kanojo,One-shot (? vols),-,"1,270 members",7.03
Mouse,Manga (14 vols),Nov 1999 - Aug 2004,"1,583 members",7.03
Renai Library,One-shot (? vols),-,989 members,7.03
Hanazakari de Koi Shiteru,Manga (1 vols),Jun 2007 - Jun 2007,"1,147 members",7.03
Happy & Murphy,Manhwa (4 vols),-,313 members,7.03
Sumire wa Blue,Manga (2 vols),Jul 2001 - Aug 2002,"1,211 members",7.03
Kiken na Honey,Manga (1 vols),Aug 2008 - Aug 2008,"1,115 members",7.03
Itazura Majoko no Daibouken,Manga (5 vols),2004 - 2004,258 members,7.03
Ubatte Agemasu,Manga (1 vols),Jun 2008 - Jun 2008,"2,642 members",7.03
Touzandou Tentsui Ibun,Manga (2 vols),1998 - 2005,633 members,7.03
13th Boy,Manhwa (12 vols),2004 - Apr 2009,870 members,7.03
Koiiro Senritsu Double Ouji,Manga (1 vols),-,"1,175 members",7.03
Toto,Manga (2 vols),Mar 2002 - Jul 2002,290 members,7.03
Transistor Teaset: Denki Gairozu,Manga (5 vols),Jul 2008 - Sep 2011,721 members,7.03
Aoyama Gosho Tanpenshuu,Manga (1 vols),Dec 1986 - Jul 1988,393 members,7.03
Dr. wa Amai Kiss wo Suru,Manga (1 vols),Jul 2005 - Jul 2005,448 members,7.03
Kiruza King,One-shot (? vols),Oct 2006 -,"1,094 members",7.03
Yami no Alexandra,Manga (4 vols),Apr 1995 - Jun 1996,360 members,7.03
Ane Comi,Manga (2 vols),Aug 2008 - Sep 2012,"2,511 members",7.03
Nokemono to Hanayome,Manga (? vols),2006 -,871 members,7.03
Toriniku Club,Manga (1 vols),Jun 2002 - Jun 2002,508 members,7.03
Metallic Colors,Manga (1 vols),Dec 2008 - Dec 2009,430 members,7.03
Re:Birth: The Lunatic Taker,Manga (7 vols),May 2009 - Oct 2011,"6,252 members",7.03
Bessatsu School Rumble,One-shot (? vols),Feb 2010 - Feb 2010,945 members,7.03
Heart no Ousama,Manga (1 vols),2007 - 2007,"1,605 members",7.03
Inazuma Eleven,Manga (10 vols),May 2008 - Sep 2011,"1,625 members",7.03
Houkago Play 3,Manga (1 vols),Mar 2010 - Jan 2011,"1,050 members",7.03
Link: Boku to Kimi no Aida,Manga (1 vols),Aug 2009 - Feb 2010,906 members,7.03
Mayoi Neko Overrun!,Novel (12 vols),Oct 2008 - Feb 2012,898 members,7.03
HenSemi,Manga (11 vols),Dec 2006 - Jun 2015,"1,158 members",7.03
Nobara no Mori no Otome-tachi,Manga (2 vols),Jun 2010 - Dec 2010,607 members,7.03
Kareshi Toshishitakei,Manga (1 vols),2009 - 2009,"4,107 members",7.03
Osomatsu-kun,Manga (34 vols),1962 - 1988,644 members,7.03
Otome wa Boku ni Koishiteru: Futari no Elder,Manga (3 vols),May 2010 - Dec 2011,"1,134 members",7.03
Hal,Manga (1 vols),Mar 2008 - Oct 2009,"1,632 members",7.03
Hakaijuu,Manga (21 vols),Apr 2010 - Jun 2017,"7,425 members",7.03
2-dome no Koi wa Usotsuki,Manga (5 vols),Oct 2010 - Aug 2012,"1,392 members",7.03
Sara no Ue no Kanojo,One-shot (? vols),Sep 2011 - Sep 2011,"1,398 members",7.03
Mars,Manga (5 vols),1976 - 1977,549 members,7.03
Locomoco,Manga (2 vols),Dec 2011 - Jul 2012,"1,625 members",7.03
Boku no Ushiro ni Majo ga Iru,Manga (? vols),Aug 2008 -,"2,138 members",7.03
Senran Kagura: Guren no Uroboros,Manga (3 vols),Sep 2011 - Jul 2013,"1,128 members",7.03
Neko to Watashi no Kinyoubi,Manga (11 vols),Feb 2013 - Nov 2015,"2,748 members",7.03
Teki wa Ou-sama,Manga (1 vols),Apr 2008 - Jan 2013,"1,607 members",7.03
"17-sai, Kiss to Dilemma",Manga (4 vols),Feb 2013 - Nov 2013,"5,981 members",7.03
Natsuzora and Run,Manga (5 vols),Sep 2012 - Sep 2014,"1,495 members",7.03
ēlDLIVE,Manga (11 vols),Aug 2013 - Nov 2018,"3,961 members",7.03
Gokusai,Manga (4 vols),Sep 2012 - Aug 2013,578 members,7.03
Suki ni Natte wa Ikenai Hito,Manga (1 vols),Apr 2013 - Sep 2013,619 members,7.03
Kuusou Spin Flower,Manga (3 vols),Aug 2013 - Aug 2014,660 members,7.03
Koi ga Saku Koro Sakura Doki: Charming Scarlet,Manga (2 vols),Oct 2013 - Nov 2014,830 members,7.03
Kantai Collection: Shimakaze Tsumujikaze no Shoujo,Manga (3 vols),Dec 2013 - Feb 2016,"1,086 members",7.03
Boku no Ojiichan wa Hen na Hanashi suru!,Manga (3 vols),Dec 2013 - Nov 2014,255 members,7.03
Ana Aki Bukuro wa Wasuregachi,One-shot (? vols),Jul 2013 - Jul 2013,"1,168 members",7.03
Musume no Iede,Manga (6 vols),Jan 2012 - Feb 2017,"1,025 members",7.03
Koukenryoku Ouryou Sousakan Nakabou Rintarou,Manga (2 vols),Sep 1998 - Mar 2000,378 members,7.03
Aku no Higan,Manga (4 vols),Apr 2014 - Jul 2015,"3,515 members",7.03
Unubore Heart's Cry,Manga (2 vols),Mar 2014 - Oct 2014,369 members,7.03
Tale of Fairy Tail: Ice Trail,Manga (2 vols),Jul 2014 - Jul 2015,"11,896 members",7.03
Dagashi Kashi,Manga (11 vols),Jun 2014 - Apr 2018,"13,039 members",7.03
Tokyo ESP x Ga-Rei: Shadow Walker,Manga (1 vols),Mar 2014 - Jul 2014,"1,009 members",7.03
Ultimate Antihero,Novel (4 vols),Oct 2014 - Jun 2016,"1,313 members",7.03
Sensei Lock On!,Manga (2 vols),Apr 2012 - Oct 2015,"6,625 members",7.03
Kaimetsuou to 12-nin no Hoshi no Miko,Manga (6 vols),May 2015 - Feb 2018,"3,131 members",7.03
Kinyoubi wa Hatsukoi,Manga (1 vols),Apr 2014 - Jun 2014,297 members,7.03
Legend,Manga (? vols),Sep 2015 -,"3,913 members",7.03
